% # of blocks, # maximum delay
174,252640
% block no, block name, core, start time, end time
105,a_controller_System_rpm_culc_if_CompareToConstant_Compare,0,16754,21674
106,a_controller_System_rpm_culc_if_CompareToConstant_Constant,0,16753,16754
107,a_controller_System_rpm_culc_if_CompareToConstant_u,0,16752,16753
108,a_controller_System_rpm_culc_if_CompareToConstant_y,0,27372,27373
109,a_controller_System_rpm_culc_if_LogicalOperator,0,27373,32224
110,a_controller_System_rpm_culc_if_RelationalOperator,0,11400,16750
111,a_controller_System_rpm_culc_if_count,0,16751,16752
112,a_controller_System_rpm_culc_if_if,0,32224,32225
113,a_controller_System_rpm_culc_if_pos,0,11398,11399
114,a_controller_System_rpm_culc_if_prev_pos,0,11399,11400
115,a_controller_System_rpm_culc_pos,0,11397,11398
116,a_controller_System_rpm_culc_rpm,0,53051,53052
117,a_controller_System_rpm_culc_update_prev_pos,0,252639,252640
118,a_controller_System_rpm_culc_update_prev_pos_Switch3,0,237523,242739
119,a_controller_System_rpm_culc_update_prev_pos_UnitDelay1,0,0,5698
120,a_controller_System_rpm_culc_update_prev_pos_if,0,237521,237522
121,a_controller_System_rpm_culc_update_prev_pos_pos,0,237522,237523
122,a_controller_System_rpm_culc_update_prev_pos_prev_pos,0,11396,11397
123,a_controller_System_sector,1,247860,247861
124,a_controller_System_sector_culc,1,247865,247866
125,a_controller_System_sector_culc_Constant,1,57607,57608
126,a_controller_System_sector_culc_Constant1,1,57608,57609
127,a_controller_System_sector_culc_Constant10,1,51978,51979
128,a_controller_System_sector_culc_Constant11,1,57609,57610
129,a_controller_System_sector_culc_Constant12,1,57610,57611
130,a_controller_System_sector_culc_Constant13,1,57611,57612
131,a_controller_System_sector_culc_Constant14,1,57612,57613
132,a_controller_System_sector_culc_Constant15,1,57613,57614
133,a_controller_System_sector_culc_Constant16,1,57614,57615
134,a_controller_System_sector_culc_Constant17,1,201927,201928
135,a_controller_System_sector_culc_Constant2,1,57615,57616
136,a_controller_System_sector_culc_Constant3,1,57616,57617
137,a_controller_System_sector_culc_Constant34,1,57617,57618
138,a_controller_System_sector_culc_Constant35,1,57618,57619
139,a_controller_System_sector_culc_Constant36,1,23833,23834
140,a_controller_System_sector_culc_Constant4,1,29462,29463
141,a_controller_System_sector_culc_Constant5,1,57619,57620
142,a_controller_System_sector_culc_Constant6,1,57620,57621
143,a_controller_System_sector_culc_Constant7,1,35091,35092
144,a_controller_System_sector_culc_Constant8,1,40720,40721
145,a_controller_System_sector_culc_Constant9,1,46349,46350
146,a_controller_System_sector_culc_Gain,1,15883,23833
147,a_controller_System_sector_culc_Product,1,129707,183025
148,a_controller_System_sector_culc_Switch1,1,201928,214170
149,a_controller_System_sector_culc_Switch10,1,109111,119409
150,a_controller_System_sector_culc_Switch11,1,51979,57607
151,a_controller_System_sector_culc_Switch12,1,98813,109111
152,a_controller_System_sector_culc_Switch2,1,88515,98813
153,a_controller_System_sector_culc_Switch23,1,67919,78217
154,a_controller_System_sector_culc_Switch24,1,23834,29462
155,a_controller_System_sector_culc_Switch3,1,29463,35091
156,a_controller_System_sector_culc_Switch4,1,78217,88515
157,a_controller_System_sector_culc_Switch5,1,35092,40720
158,a_controller_System_sector_culc_Switch6,1,57621,67919
159,a_controller_System_sector_culc_Switch7,1,40721,46349
160,a_controller_System_sector_culc_Switch8,1,119409,129707
161,a_controller_System_sector_culc_Switch9,1,46350,51978
162,a_controller_System_sector_culc_Zero_OrderHold1,1,12642,15883
163,a_controller_System_sector_culc_sector,1,247855,247856
164,a_controller_System_sector_culc_theta,1,12641,12642
165,a_controller_System_sector_culc_w,1,201926,201927
166,a_controller_System_speed_command,1,183026,183027
167,a_controller_System_wre,1,247858,247859
168,a_controller_duty,0,252630,252631
169,a_controller_iuvw,1,247856,247857
170,a_controller_pos,1,0,1
171,a_controller_sector,1,247861,247862
172,a_controller_speed_command,1,183025,183026
173,a_controller_wre,1,247857,247858
